TIF Number,TIF1,TIF2,Direction,Amount,Project
T-001,35th/Halsted,Archer/Western,To,-1400000,Lighting
T-001,35th/Halsted,Archer/Western,To,-600000,McGuane Park
T-001,35th/Halsted,Archer/Western,To,-400000,McKinley Park
T-001,35th/Halsted,Archer/Western,To,-200000,Park - Bosley Park
T-005,60th and Western,63rd/Ashland,To,-800000,Lighting
T-009,95th and Western,Western/Rock Island,From,1200000,Repay prior transfer
T-033,North Branch (North),North Branch South,From,22000000,Bridge repairs
T-034,North Branch (South),North Branch North,To,-22000000,Bridge repairs
T-035,North-Cicero,Austin Commercial,To,-435000,Lighting
T-035,North-Cicero,Austin Commercial,To,-3265000,Retail Thrive Zone
T-037,River South,Canal/Congress,From,2000000,CPS - South Loop ES
T-037,River South,Canal/Congress,From,8000000,Wells St - Roosevelt to Archer
T-037,River South,24th/Michigan,To,-17000000,RDA - Ickes
T-038,Roosevelt/Cicero,Harrison/Central,To,-144000,RDA - Loretto Hospital
T-038,Roosevelt/Cicero,Ogden/Pulaski,To,-2070000,Lighting
T-038,Roosevelt/Cicero,Ogden/Pulaski,To,-300000,Vertical clearance improvements
T-042,Sanitary Drainage and Ship Canal,Little Village East,To,-1150000,Lighting
T-042,Sanitary Drainage and Ship Canal,Little Village East,To,-130000,Street resurfacing
T-048,Western/Ogden,Midwest,To,-2500000,RDA - Mt Sinai Hospital
T-048,Western/Ogden,Roosevelt/Racine,To,-6000000,Addams-Medill Sports Center
T-048,Western/Ogden,Roosevelt/Racine,To,-1350000,Lighting
T-048,Western/Ogden,Roosevelt/Racine,To,-3000000,RDA - 1340 W Taylor Apts
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,71st/Stony Island,To,-3000000,MSAC DS - South Shore HS
T-056,79th Street Corridor,79th/Vincennes,To,-1000000,Purchase Rehab Program
T-060,71st/Stony Island,Stony Island/Burnside,From,3000000,MSAC DS - South Shore HS
T-060,71st/Stony Island,Woodlawn,From,5000000,MSAC DS - South Shore HS
T-061,Bronzeville,47th/King,From,1400000,Dunbar Park
