,TIF Number,TIF1,TIF2,Direction,Amount,Project
35,T-066,Greater Southwest Industrial Corridor (East),Greater Southwest Industrial Corridor (West),From,1845000,IGA - CPS - Southside Occupational H.S.
36,T-066,Greater Southwest Industrial Corridor (East),79th Street Corridor,To,-1000000,Invest South West Program
37,T-092,Greater Southwest Industrial Corridor (West),Greater Southwest Industrial Corridor (East),To,-1845000,IGA - CPS - Southside Occupational H.S.
38,T-144,Harrison/Central,Midwest,From,2500000,Redevelopment Project
39,T-108,Humboldt Park Commercial,Pulaski Corridor,To,-3000000,Invest South West Program
40,T-101,Jefferson/Roosevelt,Roosevelt Clark,To,-5000000,Bridge - Taylor St
41,T-103,Lake Calumet Area Industrial,116th Ave O,To,-5088000,RDA - North Point
42,T-116,Lawrence/Pulaski,Foster Edens,To,-1250000,IGA - CPD - Gompers Park
43,T-075,Madison/Austin Corridor,Midwest,From,1000000,Invest South West Program
44,T-075,Madison/Austin Corridor,Northwest Industrial Corridor,From,4000000,Invest South West Program
45,T-029,Michigan/Cermak,24th/Michigan,From,3750000,RDA - 2222 S Michigan - Rehab
46,T-089,Midway Industrial Corridor,Stevenson/Brighton,To,-6000000,Park District headquarters
47,T-095,Midwest,Harrison/Central,To,-2500000,Redevelopment Project
48,T-095,Midwest,Madison/Austin Corridor,To,-1000000,Invest South West Program
49,T-095,Midwest,Ogden/Pulaski,To,-2975800,Invest South West Program
50,T-095,Midwest,Ogden/Pulaski,To,-3400000,RDA - Grace Manor Apts
51,T-173,Montrose/Clarendon,Wilson Yard,From,3450000,Park - Clarendon Park Fieldhouse
52,T-166,North Pullman,Roseland/Michigan,From,160000,RDA - Whole Foods Distribution
53,T-166,North Pullman,Stony Island Avenue Commercial and Burnside Industrial Corridors,From,1500000,Gately Park
54,T-064,Northwest Industrial Corridor,Austin Commercial,To,-11600000,Invest South West Program
55,T-064,Northwest Industrial Corridor,Madison/Austin Corridor,To,-4000000,Invest South West Program
56,T-161,Ogden/Pulaski,Midwest,From,2975800,Invest South West Program
57,T-161,Ogden/Pulaski,Midwest,From,3400000,RDA - Grace Manor Apts
58,T-161,Ogden/Pulaski,Roosevelt/Cicero,From,8000000,Invest South West Program
59,T-069,Pulaski Corridor,Humboldt Park Commercial,From,3000000,Invest South West Program
60,T-184,Roosevelt Clark,Canal/Congress,From,12142900,Infra-Structure - Roosevelt Clark TIF
61,T-184,Roosevelt Clark,Canal/Congress,From,2000000,Lighting
62,T-184,Roosevelt Clark,Jefferson/Roosevelt,From,5000000,Bridge - Taylor St
63,T-038,Roosevelt/Cicero,Ogden/Pulaski,To,-8000000,Invest South West Program
64,T-062,Roosevelt/Racine,Western/Ogden,From,11333400,CHA Transformation project
65,T-113,Roseland/Michigan,105th/Vincennes,From,3666600,Invest South West Program
66,T-113,Roseland/Michigan,119th and Halsted,From,2333400,Invest South West Program
67,T-113,Roseland/Michigan,North Pullman,To,-160000,RDA - Whole Foods Distribution
68,T-149,Stevenson/Brighton,Midway Industrial Corridor,From,6000000,Park District headquarters
69,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,North Pullman,To,-1500000,Gately Park
70,T-171,West Woodlawn,Woodlawn,From,176000,Planning study
71,T-171,West Woodlawn,Woodlawn,From,250000,SBIF
72,T-084,Western Avenue North,Western Avenue South,From,5400000,Streetscape - Lawrence Av
73,T-085,Western Avenue South,Western Avenue North,To,-5400000,Streetscape - Lawrence Av
74,T-048,Western/Ogden,Roosevelt/Racine,To,-11333400,CHA Transformation project
75,T-110,Wilson Yard,Montrose/Clarendon,To,-3450000,Park - Clarendon Park Fieldhouse
76,T-065,Woodlawn,West Woodlawn,To,-250000,SBIF
77,T-065,Woodlawn,West Woodlawn,To,-176000,Planning study
