,TIF Number,TIF1,TIF2,Direction,Amount,Project
0,T-111,105th/Vincennes,Roseland/Michigan,To,-3666600,Invest South West Program
1,T-176,107th/Halsted,119th/I-57,From,1400000,Invest South West Program
2,T-182,116th Ave O,Lake Calumet Area Industrial,From,5088000,RDA - North Point
3,T-114,119th and Halsted,Roseland/Michigan,To,-2333400,Invest South West Program
4,T-125,119th/I-57,107th/Halsted,To,-1400000,Invest South West Program
5,T-072,24th/Michigan,Michigan/Cermak,To,-3750000,RDA - 2222 S Michigan - Rehab
6,T-079,35th and Wallace,35th/Halsted,To,-4500000,Police facility rehab
7,T-001,35th/Halsted,35th and Wallace,From,4500000,Police facility rehab
8,T-001,35th/Halsted,Archer/Western,To,-550000,Proposed Park Park Projects
9,T-001,35th/Halsted,Archer/Western,To,-1369400,Proposed Park Project
10,T-001,35th/Halsted,Archer/Western,To,-400000,CPD - McKinley Park
11,T-001,35th/Halsted,Archer/Western,To,-6840000,CPS - Holden ES
12,T-001,35th/Halsted,Archer/Western,To,-1262100,CTA - Orange Line - 35th/Archer Station
13,T-060,71st/Stony Island,87th/Cottage Grove,From,750000,Invest South West Program
14,T-060,71st/Stony Island,Avalon Park/South Shore,To,-2501800,Invest South West Program
15,T-056,79th Street Corridor,79th Street/Southwest Highway,From,3766700,Invest South West Program
16,T-056,79th Street Corridor,79th/Vincennes,From,500000,Invest South West Program
17,T-056,79th Street Corridor,Greater Southwest Industrial Corridor (East),From,1000000,Invest South West Program
18,T-112,79th Street/Southwest Highway,79th Street Corridor,To,-3766700,Invest South West Program
19,T-155,79th/Vincennes,79th Street Corridor,To,-500000,Invest South West Program
20,T-127,87th/Cottage Grove,71st/Stony Island,To,-750000,Invest South West Program
21,T-163,Archer/Western,35th/Halsted,From,400000,CPD - McKinley Park
22,T-163,Archer/Western,35th/Halsted,From,6840000,CPS - Holden ES
23,T-163,Archer/Western,35th/Halsted,From,1262100,CTA - Orange Line - 35th/Archer Station
24,T-163,Archer/Western,35th/Halsted,From,550000,Proposed Park Park Projects
25,T-163,Archer/Western,35th/Halsted,From,1369400,Proposed Park Project
26,T-156,Austin Commercial,Northwest Industrial Corridor,From,11600000,Invest South West Program
27,T-123,Avalon Park/South Shore,71st/Stony Island,From,2501800,Invest South West Program
28,T-063,Canal/Congress,Roosevelt Clark,To,-12142900,Infra-Structure - Roosevelt Clark TIF
29,T-063,Canal/Congress,Roosevelt Clark,To,-2000000,Lighting
30,T-129,Diversey/Narragansett,Galewood/Armitage Industrial,From,4500000,Riis Park
31,T-021,Englewood Mall,Englewood Neighborhood,From,3600000,Invest South West Program
32,T-106,Englewood Neighborhood,Englewood Mall,To,-3600000,Invest South West Program
33,T-181,Foster Edens,Lawrence/Pulaski,From,1250000,IGA - CPD - Gompers Park
34,T-071,Galewood/Armitage Industrial,Diversey/Narragansett,To,-4500000,Riis Park
