TIF Number,TIF1,TIF2,Direction,Amount,Project
T-171,West Woodlawn,Woodlawn,From,250000,SBIF
T-179,Diversey Chicago River,Addison South,From,200000,Bridge repairs
T-176,107th/Halsted,119th/I-57,From,600000,Retail Thrive Zone
T-174,67th/Wentworth,79th/Vincennes,From,625000,Retail Thrive Zone
T-177,Foster/California,Western Ave. North,From,926700,RA - Swedish Covenant Hospital
T-174,67th/Wentworth,63rd/Ashland,From,500000,Retail Thrive Zone
T-178,Washington Park,47th/King,From,300000,SBIF
T-177,Foster/California,Western Ave. North,From,375000,Traffic signals
T-021,Englewood Mall,Englewood Neighborhood,From,175000,Retail Thrive Zone
T-013,Bryn Mawr/Broadway,Hollywood/Sheridan,To,-297000,CHA Fisher Apts
T-074,Clark Street and Ridge Avenue,Devon/Sheridan,From,3111800,Repay prior transfer
T-095,Midwest,Chicago/Central Park,To,-222900,MSAC DS - Raby Horticultural
T-081,Belmont/Central,Galewood/Armitage,To,-2196700,MSAC DS - Prieto Elementary
T-095,Midwest,Chicago/Central Park,To,-1690300,MSAC DS - Westinghouse
T-069,Pulaski Corridor,Chicago/Central Park,To,-919500,MSAC DS - Westinghouse
T-074,Clark Street and Ridge Avenue,Edgewater/Ashland,To,-1500000,Park - 5700 Ashland
T-095,Midwest,Western/Ogden,From,6750000,RA - Mt Sinai Hospital
T-075,Madison/Austin Corridor,Midwest,From,1633000,MSAC DS - Austin HS & DePriest Elementary
T-064,Northwest Industrial Corridor,Madison/Austin,To,-2859800,MSAC DS - Austin HS & DePriest Elementary
T-064,Northwest Industrial Corridor,Chicago/Central Park,To,-1048200,MSAC DS - Westinghouse
T-038,Roosevelt/Cicero,Ogden/Pulaski,To,-440000,CPS - Crown
T-084,Western Avenue North,Lincoln Ave.,To,-1753200,MSAC DS - Mather HS
T-084,Western Avenue North,Foster/California,To,-375000,Traffic signals
T-084,Western Avenue North,Foster/California,To,-926700,RA - Swedish Covenant Hospital
T-065,Woodlawn,71st/Stony Island,To,-1851100,MSAC DS - South Shore HS
T-065,Woodlawn,West Woodlawn,To,-250000,SBIF
T-062,Roosevelt/Racine,Western/Ogden,From,1046700,Addams-Medill Sports Center
T-075,Madison/Austin Corridor,Harrison/Central,To,-144000,RA - Loretto Hospital
T-075,Madison/Austin Corridor,Northwest Ind. Corr.,From,2859800,MSAC DS - Austin HS & DePriest Elementary
T-060,71st/Stony Island,87th/Cottage Grove,From,1892700,MSAC DS - South Shore HS
T-061,Bronzeville,47th/Halsted,From,2500000,Quad Communities Arts and Rec Center
T-095,Midwest,Madison/Austin,To,-1633000,MSAC DS - Austin HS & DePriest Elementary
T-076,Devon/Western,Lincoln Ave.,From,2090000,Streetscape - Devon
