TIF Number,TIF1,TIF2,Direction,Amount,Project
T-176,107th/Halsted,119th/I-57,From,1400000,Invest South West Program
T-125,119th/I-57,107th/Halsted,To,-1400000,Invest South West Program
T-072,24th/Michigan,Michigan/Cermak,From,3750000,RDA - 2222 S Michigan - Rehab
T-117,47th/Ashland,47th/Halsted,From,3833300,Invest South West Program
T-121,47th/Halsted,47th/Ashland,To,-3833300,Invest South West Program
T-063,Canal/Congress,Roosevelt Clark,To,-24285800,Infra-Structure - Roosevelt Clark TIF
T-115,Chicago/Central Park,Kinzie Ind. Corr.,From,3250000,Invest South West Program
T-108,Humboldt Park Commercial,Pulaski Corridor,To,-3000000,Invest South West Program
T-052,Kinzie Industrial Corridor,Chicago/Central Park,To,-3250000,Invest South West Program
T-075,Madison/Austin Corridor,Midwest,From,2000000,Invest South West Program
T-075,Madison/Austin Corridor,Northwest Ind. Corr.,From,3000000,Invest South West Program
T-029,Michigan/Cermak,24th/Michigan,To,-3750000,RDA - 2222 S Michigan - Rehab
T-095,Midwest,Madison/Austin,To,-2000000,Invest South West Program
T-095,Midwest,Ogden/Pulaski,To,-6408000,Invest South West Program
T-166,North Pullman,Roseland/Michigan,From,150000,RDA - Whole Foods Distribution
T-064,Northwest Industrial Corridor,Madison/Austin,To,-3000000,Invest South West Program
T-161,Ogden/Pulaski,Midwest,From,6408000,Invest South West Program
T-069,Pulaski Corridor,Humboldt Park,From,3000000,Invest South West Program
T-184,Roosevelt Clark,Canal/Congress,From,24285800,Infra-Structure - Roosevelt Clark TIF
T-113,Roseland/Michigan,North Pullman,To,-150000,RDA - Whole Foods Distribution
