TIF Number,TIF Name,Time Period,Type,Description,Amount,Designation Date,Expiration Date
T-115,Chicago/Central Park,Fund / Project Balances,Current Obligations,Street resurfacing - 11 blocks - Ward 37,-2600,02/27/2002,12/31/2026
T-112,79th Street/Southwest Highway,2021,Revenue,Tax rate increase surplus revenue,-139600,10/03/2001,12/31/2025
T-062,Roosevelt/Racine,2026,Revenue,Property tax,2213100,11/04/1998,12/31/2034
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Fund / Project Balances,Current Obligations,RA - Paul Stewart Ph V,-58700,07/13/1994,12/31/2018
T-178,Washington Park,2028,Revenue,Tax rate increase surplus revenue,-78900,10/08/2014,12/31/2038
T-035,North-Cicero,2020,Revenue,Property tax,1724900,07/30/1997,07/30/2020
T-100,Ohio/Wabash,2019,Current Obligations,Program administration,-31700,06/07/2000,12/31/2024
T-095,Midwest,2035,Current Obligations,Program administration,-1173200,05/17/2000,12/31/2036
T-160,Kennedy/Kimball,2030,Revenue,Property tax,1038400,03/12/2008,12/31/2032
T-077,Lincoln Avenue,2018,Current Obligations,MSAC program costs,600,11/03/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2018,Current Obligations,Program administration,-14900,09/29/1999,09/29/2022
T-127,87th/Cottage Grove,2020,Current Obligations,Retail Thrive Zone - program admin,-20000,11/13/2002,12/31/2026
T-129,Diversey/Narragansett,2023,Revenue,Property tax,2787200,02/05/2003,12/31/2027
T-061,Bronzeville,2018,Transfers Between TIF Districts,From 47th/King (Williams Park),3000000,11/04/1998,12/31/2022
T-153,Elston/Armstrong Industrial Corridor,2026,Current Obligations,Program administration,-38100,07/19/2007,12/31/2031
T-180,Red Purple Transit,2041,Current Obligations,CTA IGA Red Purple Modernization,-59617000,11/20/2016,12/31/2052
T-078,South Works Industrial,2018,Current Obligations,Program administration,-2600,11/03/1999,12/31/2023
T-139,Ravenswood Corridor,Fund / Project Balances,Current Obligations,Professional services,-100000,03/09/2005,12/31/2029
T-178,Washington Park,2024,Current Obligations,Program administration,-31800,10/08/2014,12/31/2038
T-098,63rd/Pulaski,2020,Current Obligations,Program administration,-36500,05/17/2000,12/31/2024
T-078,South Works Industrial,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-3500,11/03/1999,12/31/2023
T-063,Canal/Congress,2019,Revenue,Property tax,31265800,11/12/1998,12/31/2022
T-121,47th/Halsted,Fund / Project Balances,Current Obligations,Protected Bikeways Program,-16800,05/29/2002,12/31/2026
T-147,LaSalle Central,2029,Revenue,Property tax,86730100,11/15/2006,12/31/2030
T-061,Bronzeville,2022,Current Obligations,Program administration,-73800,11/04/1998,12/31/2022
T-052,Kinzie Industrial Corridor,Fund / Project Balances,Current Obligations,Water & sewer main replacement - Fulton Market,-4472600,06/10/1998,12/31/2022
T-095,Midwest,2020,Revenue,Property tax,18627700,05/17/2000,12/31/2036
T-134,Devon/Sheridan,2022,Current Obligations,Program administration,-29200,03/31/2004,12/31/2028
T-134,Devon/Sheridan,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-29500,03/31/2004,12/31/2028
T-095,Midwest,2018,Current Obligations,"Streetscape - Western, Lake to Monroe",559500,05/17/2000,12/31/2036
T-087,Fullerton/Milwaukee,2018,Transfers Between TIF Districts,To Avondale (SBIF),-500000,02/16/2000,12/31/2024
T-103,Lake Calumet Area Industrial,2019,Current Obligations,Park District IGA - Big Marsh Park,-1400000,12/13/2000,12/31/2024
T-118,47th/King Drive,2019,Revenue,Property tax,8449700,03/27/2002,12/31/2026
T-060,71st/Stony Island,2018,Revenue,Property tax,3216900,10/07/1998,12/31/2022
T-142,Western Avenue/Rock Island,2022,Revenue,Property tax,1760700,02/08/2006,12/31/2030
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,Retail Thrive Zone - infrastructure,-8300,11/29/1989,12/31/2025
T-034,North Branch (South),2018,Current Obligations,Intersection improvements - Armitage/Division,155000,02/05/1998,02/05/2021
T-097,51st/Archer,2021,Transfers Between TIF Districts,From 63rd/Pulaski (MSAC DS - Hernandez MS),526100,05/17/2000,12/31/2024
T-115,Chicago/Central Park,Fund / Project Balances,Current Obligations,Westside resurfacing program,-319500,02/27/2002,12/31/2026
T-177,Foster/California,2021,Current Obligations,Program administration,-8100,03/05/2014,12/31/2038
T-119,Lakefront,2023,Current Obligations,Program administration,-11200,03/27/2002,12/31/2026
T-173,Montrose/Clarendon,2023,Revenue,Property tax,276300,06/30/2010,12/31/2034
T-119,Lakefront,2021,Current Obligations,RA - Lake Park Crescent Rental,-56400,03/27/2002,12/31/2026
T-180,Red Purple Transit,2045,Revenue,Property Tax,65324900,11/20/2016,12/31/2052
T-160,Kennedy/Kimball,Fund / Project Balances,Current Obligations,Professional services,-11300,03/12/2008,12/31/2032
T-106,Englewood Neighborhood,2018,Current Obligations,"Lighting - Halsted, 55th to 62nd",900,06/27/2001,12/31/2025
T-166,North Pullman,2023,Current Obligations,RA - Whole Foods Distribution,-800800,06/30/2009,12/31/2033
T-037,River South,Fund / Project Balances,Current Obligations,Harrision Street Bridge repairs,-27900,07/30/1997,12/31/2021
T-134,Devon/Sheridan,2019,Revenue,Property tax,1626500,03/31/2004,12/31/2028
T-153,Elston/Armstrong Industrial Corridor,Fund / Project Balances,Current Obligations,"Lighting/sidewalk - Elston, Forest Glenn to Central",-71900,07/19/2007,12/31/2031
T-121,47th/Halsted,2019,Revenue,Property tax,3747800,05/29/2002,12/31/2026
T-141,26th and King Drive,2027,Current Obligations,Program administration,-50400,01/11/2006,12/31/2030
T-154,Pershing/King,Fund / Project Balances,Current Obligations,"Resurfacing - Oakwood Blvd, King Dr to Vincennes",-150500,09/05/2007,12/31/2031
T-125,119th/I-57,2018,Current Obligations,Sidewalk/curb/gutter - Ward 34,24300,11/06/2002,12/31/2026
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Professional services,-4300,12/11/1996,12/11/2019
T-066,Greater Southwest Industrial Corridor (East),Fund / Project Balances,Current Obligations,Professional services,-6200,03/10/1999,12/31/2023
T-072,24th/Michigan,2019,Revenue,Property tax,3302500,07/21/1999,07/21/2022
T-068,Roosevelt/Union,Fund / Project Balances,Fund Balance,FY'17 year-end balance,7214400,05/12/1999,05/12/2022
T-061,Bronzeville,2021,Current Obligations,RA - Pershing & State LP,-64400,11/04/1998,12/31/2022
T-090,Peterson/Cicero,2018,Current Obligations,Cicero Peterson festoon lighting,-100000,02/16/2000,12/31/2024
T-101,Jefferson/Roosevelt,2021,Current Obligations,RA - Home Depot,-217300,08/30/2000,12/31/2024
T-156,Austin Commercial,2019,Proposed Projects,Purchase Rehab Program - MF,-1000000,09/27/2007,12/31/2031
T-102,Montclare,2020,Revenue,Property tax,349600,08/30/2000,12/31/2024
T-167,Avondale,2018,Current Obligations,Program administration,-3400,07/29/2009,12/31/2033
T-156,Austin Commercial,Fund / Project Balances,Current Obligations,"Arterial resurfacing - Division, Austin to Cicero",-680200,09/27/2007,12/31/2031
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2027,Revenue,Property tax,4503000,06/10/1998,12/31/2034
T-079,35th and Wallace,Fund / Project Balances,Fund Balance,Surplus TIF funds,-860200,12/15/1999,12/31/2023
T-091,Peterson/Pulaski,Fund / Project Balances,Current Obligations,Resurfacing - 4000-4332 W Bryn Mawr,-62000,02/16/2000,12/31/2024
T-066,Greater Southwest Industrial Corridor (East),2020,Current Obligations,Program administration,-21100,03/10/1999,12/31/2023
T-134,Devon/Sheridan,2019,Current Obligations,RA - Loyola University,-114400,03/31/2004,12/31/2028
T-165,Irving Park/Elston,2020,Current Obligations,Program administration,-2700,05/13/2009,12/31/2033
T-126,Madden/Wells,2024,Revenue,Property tax,1580700,11/06/2002,12/31/2026
T-141,26th and King Drive,2029,Current Obligations,Program administration,-52000,01/11/2006,12/31/2030
T-037,River South,2020,Proposed Projects,Lighting - Smart infrastructure,-800000,07/30/1997,12/31/2021
T-053,Pilsen Industrial Corridor,2018,Current Obligations,Street improvements - 25th & Damen,52300,06/10/1998,12/31/2022
T-106,Englewood Neighborhood,Fund / Project Balances,Current Obligations,CPS IGA - ADA Ph1 - Holmes,-143200,06/27/2001,12/31/2025
T-089,Midway Industrial Corridor,2018,Revenue,Property tax,3559500,02/16/2000,12/31/2024
T-130,Edgewater/Ashland,2025,Revenue,Tax rate increase surplus revenue,-69900,10/01/2003,12/31/2027
T-105,53rd Street,Fund / Project Balances,Current Obligations,TIF Works,-15800,01/10/2001,12/31/2025
T-121,47th/Halsted,Fund / Project Balances,Current Obligations,"Resurfacing - Wells, 43rd to 45th",-1200,05/29/2002,12/31/2026
T-057,Jefferson Park Business District,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-156800,09/09/1998,09/09/2021
T-009,95th and Western,2018,Proposed Projects,Anticipated salvage - streetscape,200000,07/13/1995,12/31/2019
T-097,51st/Archer,2018,Current Obligations,Professional services,14800,05/17/2000,12/31/2024
T-052,Kinzie Industrial Corridor,2018,Current Obligations,Resurfacing - 27th Ward,12900,06/10/1998,12/31/2022
T-045,Stockyards Southeast Quadrant Industrial,2026,Current Obligations,Program administration,-85900,02/26/1992,12/31/2028
T-150,Addison South,2019,Proposed Transfers,To Diversey Chicago River (Lighting),-200000,05/09/2007,12/31/2031
T-069,Pulaski Corridor,2018,Current Obligations,Green alley - 2431 N Harding,7900,06/09/1999,12/31/2023
T-079,35th and Wallace,2020,Current Obligations,Program administration,-20600,12/15/1999,12/31/2023
T-177,Foster/California,2027,Current Obligations,Program administration,-24900,03/05/2014,12/31/2038
T-113,Roseland/Michigan,Fund / Project Balances,Current Obligations,Small Business Improvement Fund,-5200,01/16/2002,12/31/2026
T-110,Wilson Yard,2025,Current Obligations,Program administration,-266900,06/27/2001,12/31/2025
T-141,26th and King Drive,2027,Current Obligations,RA - Mercy Hospital,-869000,01/11/2006,12/31/2030
T-060,71st/Stony Island,Fund / Project Balances,Current Obligations,"Lighting - Constance Av, 75th to 77th; Bennet Av, 76th to 77th",-24600,10/07/1998,12/31/2022
T-023,Goose Island,2019,Current Obligations,Program administration,-88500,07/10/1996,07/10/2019
T-060,71st/Stony Island,2019,Proposed Projects,Lighting - Smart infrastructure,-800000,10/07/1998,12/31/2022
T-130,Edgewater/Ashland,2023,Revenue,Tax rate increase surplus revenue,-69900,10/01/2003,12/31/2027
T-169,Ewing Avenue,2033,Current Obligations,Program administration,-26500,03/10/2010,12/31/2034
T-142,Western Avenue/Rock Island,2028,Current Obligations,Program administration,-110500,02/08/2006,12/31/2030
T-052,Kinzie Industrial Corridor,Fund / Project Balances,Current Obligations,Kinzie Industrial Modernization Study,-955500,06/10/1998,12/31/2022
T-106,Englewood Neighborhood,2018,Current Obligations,"Resurfacing - Peroria, Union, 64th",246400,06/27/2001,12/31/2025
T-175,51st/Lake Park,2033,Current Obligations,RA - City Hyde Park,-1352000,11/15/2012,12/31/2036
T-121,47th/Halsted,2025,Revenue,Tax rate increase surplus revenue,-344000,05/29/2002,12/31/2026
T-157,Hollywood/Sheridan,2020,Current Obligations,Program administration,-5000,11/07/2007,12/31/2031
T-057,Jefferson Park Business District,Fund / Project Balances,Current Obligations,Traffic signal - Long/Lawrence,-22200,09/09/1998,09/09/2021
T-086,Central West,2019,Revenue,Property tax,24257600,02/16/2000,12/31/2024
T-141,26th and King Drive,2025,Current Obligations,Program administration,-28000,01/11/2006,12/31/2030
T-129,Diversey/Narragansett,2019,Revenue,Property tax,2633900,02/05/2003,12/31/2027
T-101,Jefferson/Roosevelt,2023,Current Obligations,RA - Home Depot,-226000,08/30/2000,12/31/2024
T-001,35th/Halsted,2020,Current Obligations,RA - ACRE Development,-237400,01/14/1997,12/31/2021
T-147,LaSalle Central,2025,Current Obligations,RA - Riverside Park II,-4136500,11/15/2006,12/31/2030
T-034,North Branch (South),2018,Current Obligations,Bridge rehab - North Av / Chicago River,33700,02/05/1998,02/05/2021
T-104,River West,2020,Current Obligations,RA - Metra Market Note A,-921100,01/10/2001,12/31/2025
T-103,Lake Calumet Area Industrial,2018,Current Obligations,Industrial Growth Zone,1000000,12/13/2000,12/31/2024
T-171,West Woodlawn,Fund / Project Balances,Current Obligations,Program administration,-9100,05/12/2010,12/31/2034
T-116,Lawrence/Pulaski,2019,Current Obligations,Program administration,-27700,02/27/2002,12/31/2026
T-063,Canal/Congress,2019,Proposed Projects,"Viaduct improvements - Canal, Jackson to Harrison - design",-1000000,11/12/1998,12/31/2022
T-154,Pershing/King,2026,Current Obligations,Program administration,-5700,09/05/2007,12/31/2031
T-084,Western Avenue North,Fund / Project Balances,Current Obligations,Vision Zero - design,-11200,01/12/2000,12/31/2024
T-123,Avalon Park/South Shore,2019,Proposed Projects,Street resurfacing - 7800-7850 S Crandon Av,-27600,07/31/2002,12/31/2026
T-097,51st/Archer,Fund / Project Balances,Current Obligations,TIF Works,-46100,05/17/2000,12/31/2024
T-094,Chicago/Kingsbury,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-3784700,04/12/2000,12/31/2024
T-083,West Irving Park,2021,Revenue,Property tax,1408900,01/12/2000,12/31/2024
T-164,Little Village East,2022,Revenue,Property tax,34800,04/22/2009,12/31/2033
T-150,Addison South,2018,Current Obligations,"Livable Streets Plan - Rockwell, Belmont to Elston",-200000,05/09/2007,12/31/2031
T-128,Commercial Avenue,2019,Revenue,Property tax,1556100,11/13/2002,12/31/2026
T-078,South Works Industrial,Fund / Project Balances,Current Obligations,Park District IGA - Steel Workers Park,-676000,11/03/1999,12/31/2023
T-180,Red Purple Transit,2022,Current Obligations,Program administration,-399600,11/20/2016,12/31/2052
T-013,Bryn Mawr/Broadway,2018,Current Obligations,Small Business Improvement Fund,-500000,12/11/1996,12/11/2019
T-155,79th/Vincennes,2029,Current Obligations,Program administration,-19800,09/27/2007,12/31/2031
T-127,87th/Cottage Grove,2018,Revenue,Property tax,1846500,11/13/2002,12/31/2026
T-180,Red Purple Transit,2047,Revenue,Property Tax,67284600,11/20/2016,12/31/2052
T-146,Touhy/Western,2022,Revenue,Property tax,533400,09/13/2006,12/31/2030
T-126,Madden/Wells,2026,Current Obligations,RA - Phase 2C taxable small note pmts,-168000,11/06/2002,12/31/2026
T-150,Addison South,2020,Current Obligations,Program administration,-69100,05/09/2007,12/31/2031
T-176,107th/Halsted,2036,Current Obligations,Program administration,-116500,03/05/2014,12/31/2038
T-088,Lawrence/Kedzie,2018,Current Obligations,Park District IGA - Ronan Park expansion,1000,02/16/2000,12/31/2024
T-072,24th/Michigan,2019,Current Obligations,CHA IGA - Southbridge/Ickes redev,-8500000,07/21/1999,07/21/2022
T-057,Jefferson Park Business District,Fund / Project Balances,Current Obligations,Small Business Improvement Fund,-212700,09/09/1998,09/09/2021
T-114,119th and Halsted,2025,Revenue,Tax rate increase surplus revenue,-122800,02/06/2002,12/31/2026
T-180,Red Purple Transit,2034,Current Obligations,CTA IGA Red Purple Modernization,-47916000,11/20/2016,12/31/2052
