TIF Number,TIF Name,Time Period,Type,Description,Amount,Designation Date,Expiration Date
T-073,111th Street/Kedzie Avenue Business District,2018,Proposed Projects,Anticipated salvage - streetscape,205000,09/29/1999,09/29/2022
T-127,87th/Cottage Grove,2018,Current Obligations,Sidewalk improvements - 8249 S Cottage Grove,-45000,11/13/2002,12/31/2026
T-161,Ogden/Pulaski,2018,Current Obligations,Neighborhood Improvement Program,36700,04/09/2008,12/31/2032
T-058,Portage Park,2020,Revenue,Tax rate increase surplus revenue,-241900,09/09/1998,09/09/2021
T-013,Bryn Mawr/Broadway,2018,Current Obligations,ADA ramps - multiple locations,87500,12/11/1996,12/11/2019
T-167,Avondale,2018,Current Obligations,Small Business Improvement Fund,-500000,07/29/2009,12/31/2033
T-143,63rd/Ashland,2030,Current Obligations,Program administration,-85600,03/29/2006,12/31/2030
T-087,Fullerton/Milwaukee,2023,Revenue,Tax rate increase surplus revenue,-801000,02/16/2000,12/31/2024
T-103,Lake Calumet Area Industrial,2019,Current Obligations,Street improvements - Butler Drive,-2449000,12/13/2000,12/31/2024
T-135,Pratt/Ridge Industrial Park Conservation Area,2018,Current Obligations,Program administration,-9200,06/23/2004,12/31/2028
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,Fund / Project Balances,Fund Balance,FY'17 year-end balance,7482700,06/10/1998,12/31/2034
T-030,Near North,Fund / Project Balances,Current Obligations,CPS IGA - Franklin,-133100,07/30/1997,07/30/2020
T-069,Pulaski Corridor,Fund / Project Balances,Current Obligations,Survey & legal costs - 4201 W Belmont,-25000,06/09/1999,12/31/2023
T-062,Roosevelt/Racine,2028,Current Obligations,Program administration,-116700,11/04/1998,12/31/2034
T-153,Elston/Armstrong Industrial Corridor,2031,Current Obligations,Program administration,-60200,07/19/2007,12/31/2031
T-052,Kinzie Industrial Corridor,2019,Transfers Between TIF Districts,To Chicago/Central Park (MSAC DS - Westinghouse),-1211500,06/10/1998,12/31/2022
T-107,Division/Homan,2019,Proposed Projects,Lighting - Smart infrastructure,-800000,06/27/2001,12/31/2025
T-103,Lake Calumet Area Industrial,2023,Revenue,Property tax,4427200,12/13/2000,12/31/2024
T-009,95th and Western,Fund / Project Balances,Current Obligations,Pre-acquisition costs,-71100,07/13/1995,12/31/2019
T-176,107th/Halsted,2025,Current Obligations,Program administration,-39500,03/05/2014,12/31/2038
T-130,Edgewater/Ashland,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-124800,10/01/2003,12/31/2027
T-101,Jefferson/Roosevelt,2019,Revenue,Property tax,8088600,08/30/2000,12/31/2024
T-146,Touhy/Western,2028,Revenue,Property tax,700800,09/13/2006,12/31/2030
T-117,47th/Ashland,2019,Current Obligations,RA - Bishop Plaza LLC,-222100,03/27/2002,12/31/2026
T-131,35th/State,2018,Revenue,Property tax,2959900,01/14/2004,12/31/2028
T-082,Belmont/Cicero,Fund / Project Balances,Current Obligations,Small Business Improvement Fund,-641500,01/12/2000,12/31/2024
T-095,Midwest,2018,Current Obligations,"Arterial resurfacing - Independence, Douglas to Harrison",532400,05/17/2000,12/31/2036
T-143,63rd/Ashland,Fund / Project Balances,Current Obligations,"Lighting - 63rd, Hamilton to Ashland",-25700,03/29/2006,12/31/2030
T-133,83rd/Stewart,2025,Current Obligations,Program administration,-39100,03/31/2004,12/31/2028
T-115,Chicago/Central Park,2023,Revenue,Property tax,7431700,02/27/2002,12/31/2026
T-052,Kinzie Industrial Corridor,2021,Revenue,Property tax,39343700,06/10/1998,12/31/2022
T-082,Belmont/Cicero,2018,Current Obligations,Traffic signals - Addison/Kilbourn & Addison/Kilpatrick,41900,01/12/2000,12/31/2024
T-009,95th and Western,Fund / Project Balances,Current Obligations,"Streetscape - 95th, Western to Ashland",-29000,07/13/1995,12/31/2019
T-102,Montclare,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-44500,08/30/2000,12/31/2024
T-111,105th/Vincennes,2021,Revenue,Property tax,1474800,10/03/2001,12/31/2025
T-053,Pilsen Industrial Corridor,2020,Revenue,Property tax,17125800,06/10/1998,12/31/2022
T-086,Central West,2018,Current Obligations,Professional services,108800,02/16/2000,12/31/2024
T-124,67th/Cicero,2019,Current Obligations,RA - SL Midway LLC,-176400,10/02/2002,12/31/2026
T-104,River West,2018,Current Obligations,RA - Blommer,-350000,01/10/2001,12/31/2025
T-116,Lawrence/Pulaski,Fund / Project Balances,Current Obligations,"Streetscape - Pulaski, Wilson to Elston",-662300,02/27/2002,12/31/2026
T-166,North Pullman,2033,Revenue,Property tax,1967200,06/30/2009,12/31/2033
T-036,Read-Dunning,Fund / Project Balances,Current Obligations,Dunning Salt Dome,-3500000,01/11/1991,12/31/2027
T-100,Ohio/Wabash,Fund / Project Balances,Fund Balance,FY'17 year-end balance,1818400,06/07/2000,12/31/2024
T-135,Pratt/Ridge Industrial Park Conservation Area,2020,Current Obligations,Program administration,-10100,06/23/2004,12/31/2028
T-055,43rd/Cottage Grove,2022,Revenue,Property tax,3811300,07/08/1998,12/31/2022
T-076,Devon/Western,2023,Revenue,Property tax,3496000,11/03/1999,12/31/2023
T-052,Kinzie Industrial Corridor,2018,Current Obligations,RA - Peppercorn 240 LLC Note B,-66300,06/10/1998,12/31/2022
T-052,Kinzie Industrial Corridor,Fund / Project Balances,Current Obligations,Vaulted sidewalks - 1052 Fulton Market,-20600,06/10/1998,12/31/2022
T-043,Stockyards Annex,2019,Current Obligations,Program administration,-30700,12/11/1996,12/31/2020
T-172,Randolph/Wells,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-1700,06/09/2010,12/31/2034
T-164,Little Village East,2018,Current Obligations,Delegate Agencies,-3700,04/22/2009,12/31/2033
T-131,35th/State,2026,Revenue,Property tax,3329400,01/14/2004,12/31/2028
T-001,35th/Halsted,2019,Proposed Projects,Proposed redevelopment project #1,-2375000,01/14/1997,12/31/2021
T-125,119th/I-57,2019,Transfers Between TIF Districts,To 107th/Halsted (Retail Thrive Zone),-600000,11/06/2002,12/31/2026
T-141,26th and King Drive,2021,Current Obligations,Program administration,-16800,01/11/2006,12/31/2030
T-104,River West,Fund / Project Balances,Current Obligations,North Branch Industrial Corridor Planning Study,-800,01/10/2001,12/31/2025
T-140,79th/Cicero,2025,Current Obligations,Program administration,-21600,06/08/2005,12/31/2029
T-021,Englewood Mall,2018,Current Obligations,Retail Thrive Zone - infrastructure,-45900,11/29/1989,12/31/2025
T-095,Midwest,2020,Proposed Projects,Lighting - Smart infrastructure,-1500000,05/17/2000,12/31/2036
T-087,Fullerton/Milwaukee,2024,Current Obligations,RA - Footwear Factory / Florsheim Lofts,-539500,02/16/2000,12/31/2024
T-129,Diversey/Narragansett,2020,Current Obligations,RA - Brickyard Shopping Center Note A,-1670500,02/05/2003,12/31/2027
T-009,95th and Western,Fund / Project Balances,Current Obligations,"Streetscape - 95th (Ph. 2), Leavitt to Damen",-284100,07/13/1995,12/31/2019
T-106,Englewood Neighborhood,2018,Current Obligations,"Lighting - Green, Peoria, Sangamon, May, Carpenter, and Aberdeen",261000,06/27/2001,12/31/2025
T-061,Bronzeville,2018,Transfers Between TIF Districts,From 47th/King (Dunbar Park),1400000,11/04/1998,12/31/2022
T-177,Foster/California,2023,Current Obligations,Program administration,-10400,03/05/2014,12/31/2038
T-177,Foster/California,2019,Proposed Projects,Lighting - Smart infrastructure,-200000,03/05/2014,12/31/2038
T-024,Homan-Arthington,2018,Current Obligations,RA - Uhlich Children's Advantage Network,-1000000,02/05/1998,02/05/2021
T-157,Hollywood/Sheridan,2023,Current Obligations,RA - Hollywood House,-575800,11/07/2007,12/31/2031
T-160,Kennedy/Kimball,2022,Current Obligations,Program administration,-12200,03/12/2008,12/31/2032
T-134,Devon/Sheridan,2024,Current Obligations,RA - Loyola University,-140800,03/31/2004,12/31/2028
T-029,Michigan/Cermak,2024,Revenue,Property tax,1901200,09/13/1989,12/31/2025
T-082,Belmont/Cicero,2019,Proposed Projects,CPS IGA - Foreman HS,-1842000,01/12/2000,12/31/2024
T-122,Drexel Boulevard,Fund / Project Balances,Fund Balance,FY'17 year-end balance,497600,07/10/2002,12/31/2026
T-087,Fullerton/Milwaukee,Fund / Project Balances,Current Obligations,"Streetscape - Fullerton, Kimball to Sacramento",-51900,02/16/2000,12/31/2024
T-104,River West,Fund / Project Balances,Current Obligations,Street improvements - Erie & Union,-146400,01/10/2001,12/31/2025
T-175,51st/Lake Park,2035,Current Obligations,RA - City Hyde Park,-1707000,11/15/2012,12/31/2036
T-167,Avondale,2018,Current Obligations,"Arterial resurfacing - Pulaski, Roscoe to School",57400,07/29/2009,12/31/2033
T-125,119th/I-57,2018,Current Obligations,Neighborhood Improvement Program,-500000,11/06/2002,12/31/2026
T-069,Pulaski Corridor,Fund / Project Balances,Fund Balance,FY'17 year-end balance,11913600,06/09/1999,12/31/2023
T-065,Woodlawn,2018,Current Obligations,"Sidewalks - Greenwood, 63rd to 65th",165000,01/20/1999,01/20/2022
T-088,Lawrence/Kedzie,2022,Revenue,Property tax,8537800,02/16/2000,12/31/2024
T-087,Fullerton/Milwaukee,2019,Current Obligations,Program administration,-143700,02/16/2000,12/31/2024
T-134,Devon/Sheridan,2018,Current Obligations,Delegate Agencies,-87400,03/31/2004,12/31/2028
T-099,Archer/Central,2023,Revenue,Property tax,696100,05/17/2000,12/31/2024
T-111,105th/Vincennes,2019,Proposed Projects,Fire station repairs - Engine Co. 095 - windows/boiler,-350000,10/03/2001,12/31/2025
T-095,Midwest,2018,Current Obligations,"Alley resurfacing - Warren to Washington, Francisco to Sacramento",47700,05/17/2000,12/31/2036
T-071,Galewood/Armitage Industrial,2022,Proposed Projects,Police Station - District 25 - Area 5 - chillers/boiler/cooling towers,-500000,07/07/1999,12/31/2023
T-106,Englewood Neighborhood,2018,Current Obligations,"Resurfacing/curb/gutter/sidewalk - 57th St, multiple locations",376400,06/27/2001,12/31/2025
T-167,Avondale,2020,Revenue,Property tax,93700,07/29/2009,12/31/2033
T-173,Montrose/Clarendon,2034,Revenue,Property tax,311000,06/30/2010,12/31/2034
T-055,43rd/Cottage Grove,2019,Proposed Projects,Small Business Improvement Fund,-1000000,07/08/1998,12/31/2022
T-163,Archer/Western,2023,Current Obligations,Program administration,-9400,02/11/2009,12/31/2033
T-125,119th/I-57,2021,Transfers Between TIF Districts,To 105th/Vincennes (RA - Renaissance Beverly Ridge),-353400,11/06/2002,12/31/2026
T-177,Foster/California,2035,Revenue,Property tax,600800,03/05/2014,12/31/2038
T-069,Pulaski Corridor,Fund / Project Balances,Current Obligations,Traffic signal - Grand/Karlov,-32500,06/09/1999,12/31/2023
T-118,47th/King Drive,2021,Revenue,Tax rate increase surplus revenue,-699400,03/27/2002,12/31/2026
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2019,Current Obligations,Montclare Sr - Calumet Heights,-600000,06/10/1998,12/31/2034
T-107,Division/Homan,2024,Revenue,Property tax,1548800,06/27/2001,12/31/2025
T-124,67th/Cicero,Fund / Project Balances,Fund Balance,Surplus TIF funds,-21300,10/02/2002,12/31/2026
T-135,Pratt/Ridge Industrial Park Conservation Area,Fund / Project Balances,Fund Balance,FY'17 year-end balance,1374100,06/23/2004,12/31/2028
T-144,Harrison/Central,2029,Current Obligations,Program administration,-35500,07/26/2006,12/31/2030
T-074,Clark Street and Ridge Avenue,Fund / Project Balances,Current Obligations,RA - Ravenswood Partners of Illinois,-635900,09/29/1999,09/29/2022
T-075,Madison/Austin Corridor,Fund / Project Balances,Current Obligations,Small Business Improvement Fund,-167500,09/29/1999,12/31/2023
T-101,Jefferson/Roosevelt,2022,Revenue,Property tax,8444100,08/30/2000,12/31/2024
T-093,South Chicago,2020,Current Obligations,Program administration,-25600,04/12/2000,12/31/2024
T-131,35th/State,2019,Current Obligations,RA - Park Boulevard Ph 1,-383200,01/14/2004,12/31/2028
T-081,Belmont/Central,2018,Current Obligations,Delegate Agencies,-1600,01/12/2000,12/31/2024
T-109,Lawrence/Broadway,2023,Current Obligations,RA - Uptown Broadway Building,-47100,06/27/2001,12/31/2025
T-099,Archer/Central,Fund / Project Balances,Current Obligations,RA - Shop N Save,-300000,05/17/2000,12/31/2024
T-125,119th/I-57,2022,Current Obligations,RA - Marshfield Plaza,-2057200,11/06/2002,12/31/2026
T-027,Irving/Cicero,2018,Revenue,Property tax,887200,06/10/1996,12/31/2020
T-176,107th/Halsted,2024,Revenue,Property tax,1275400,03/05/2014,12/31/2038
T-149,Stevenson/Brighton,2023,Current Obligations,Program administration,-84600,04/11/2007,12/31/2031
T-164,Little Village East,2024,Current Obligations,Program administration,-3400,04/22/2009,12/31/2033
T-131,35th/State,2021,Current Obligations,RA - Townsend Chicago LLC,-1356700,01/14/2004,12/31/2028
