,TIF Number,TIF1,TIF2,Direction,Amount,Project
0,T-061,Bronzeville,47th/King Drive,From,1400000,Dunbar Park
1,T-061,Bronzeville,47th/King Drive,From,3000000,Williams Park
2,T-087,Fullerton/Milwaukee,Avondale,To,-500000,SBIF
3,T-134,Devon/Sheridan,Clark Street and Ridge Avenue,To,-3111800,Repay prior transfer
4,T-118,47th/King Drive,Bronzeville,To,-1400000,Dunbar Park
5,T-013,Bryn Mawr/Broadway,Hollywood/Sheridan,To,-297000,CHA Fisher Apts
6,T-081,Belmont/Central,Galewood/Armitage Industrial,To,-2050000,MSAC DS - Prieto Elementary
7,T-118,47th/King Drive,Bronzeville,To,-3000000,Williams Park
8,T-092,Greater Southwest Industrial Corridor (West),67th/Cicero,From,976500,Park 484
9,T-084,Western Avenue North,Western Avenue South,From,800000,Streetscape - Lawrence Av
10,T-142,Western Avenue/Rock Island,111th Street/Kedzie Avenue Business District,From,500000,Morgan Park Sports Center
11,T-143,63rd/Ashland,67th/Wentworth,To,-45000,Retail Thrive Zone
12,T-142,Western Avenue/Rock Island,119th/I-57,From,331100,Blackwelder Park
13,T-075,Madison/Austin Corridor,Midwest,From,13890000,MSAC DS - Austin HS & DePriest Elementary
14,T-083,West Irving Park,Read-Dunning,From,70000,Repay prior transfer
15,T-048,Western/Ogden,Roosevelt/Racine,To,-1570000,Addams-Medill Sports Center
16,T-060,71st/Stony Island,Woodlawn,From,2000000,MSAC DS - South Shore HS
17,T-075,Madison/Austin Corridor,Northwest Industrial Corridor,From,5000000,MSAC DS - Austin HS & DePriest Elementary
18,T-166,North Pullman,Roseland/Michigan,From,473300,RA - Whole Foods Distribution
19,T-150,Addison South,Diversey Chicago River,To,-5000,Bridge repairs
20,T-085,Western Avenue South,Western Avenue North,To,-800000,Streetscape - Lawrence Av
21,T-149,Stevenson/Brighton,Midway Industrial Corridor,From,300000,CPS - Brighton Park II
22,T-038,Roosevelt/Cicero,Ogden/Pulaski,To,-440000,CPS - Crown
23,T-063,Canal/Congress,River South,To,-24000000,CPS - South Loop ES
