,TIF Number,TIF1,TIF2,Direction,Amount,Project
32,T-076,Devon/Western,Lincoln Avenue,From,2090000,Streetscape - Devon
33,T-076,Devon/Western,Touhy/Western,To,-2042600,MSAC DS - West Ridge Elementary
34,T-038,Roosevelt/Cicero,Harrison/Central,To,-144000,RA - Loretto Hospital
35,T-035,North-Cicero,Austin Commercial,To,-2140000,Retail Thrive Zone
36,T-009,95th and Western,Western Avenue/Rock Island,To,-1000000,Morgan Park Sports Center
37,T-060,71st/Stony Island,87th/Cottage Grove,To,-500000,Retail Thrive Zone
38,T-060,71st/Stony Island,Woodlawn,From,1851100,MSAC DS - South Shore HS
39,T-060,71st/Stony Island,Stony Island Avenue Commercial and Burnside Industrial Corridors,From,1823200,MSAC DS - South Shore HS
40,T-010,126th and Torrence,Lake Calumet Area Industrial,From,400000,Bridge repairs
41,T-058,Portage Park,Jefferson Park Business District,To,-2500000,CTA Blue Line Modernization
42,T-057,Jefferson Park Business District,Portage Park,From,2500000,CTA Blue Line Modernization
43,T-095,Midwest,Ogden/Pulaski,To,-916900,CPS ADA Phase 3
44,T-038,Roosevelt/Cicero,Ogden/Pulaski,To,-1000000,RA - Montclare Sr - Lawndale
45,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,71st/Stony Island,To,-1823200,MSAC DS - South Shore HS
46,T-037,River South,24th/Michigan,To,-4310000,CPS - National Teachers Academy
47,T-073,111th Street/Kedzie Avenue Business District,Western Avenue/Rock Island,To,-500000,Morgan Park Sports Center
48,T-089,Midway Industrial Corridor,51st/Archer,To,-3315500,MSAC DS - Hernandez MS
49,T-048,Western/Ogden,Midwest,To,-6750000,RA - Mt Sinai Hospital
50,T-072,24th/Michigan,River South,From,4310000,CPS - National Teachers Academy
51,T-048,Western/Ogden,Roosevelt/Racine,To,-1046700,Addams-Medill Sports Center
52,T-052,Kinzie Industrial Corridor,Chicago/Central Park,To,-5699300,MSAC DS - Westinghouse
53,T-052,Kinzie Industrial Corridor,Chicago/Central Park,To,-1100000,SBIF
54,T-071,Galewood/Armitage Industrial,Belmont/Central,From,2196700,MSAC DS - Prieto Elementary
55,T-052,Kinzie Industrial Corridor,Chicago/Central Park,To,-1260000,Skate Park - 3349 W Rice St
56,T-052,Kinzie Industrial Corridor,Chicago/Central Park,To,-385100,TIF Works
57,T-077,Lincoln Avenue,Western Avenue North,From,1753200,MSAC DS - Mather HS
58,T-077,Lincoln Avenue,Devon/Western,To,-2090000,Streetscape - Devon
59,T-111,105th/Vincennes,119th/I-57,From,706800,RA - Renaissance Beverly Ridge
60,T-134,Devon/Sheridan,Clark Street and Ridge Avenue,To,-3111800,Repay prior transfer
61,T-143,63rd/Ashland,67th/Wentworth,To,-500000,Retail Thrive Zone
62,T-115,Chicago/Central Park,Pulaski Corridor,From,919500,MSAC DS - Westinghouse
63,T-146,Touhy/Western,Devon/Western,From,2042600,MSAC DS - West Ridge Elementary
64,T-144,Harrison/Central,Roosevelt/Cicero,From,144000,RA - Loretto Hospital
65,T-166,North Pullman,Roseland/Michigan,From,273800,RA - Whole Foods Distribution
66,T-155,79th/Vincennes,67th/Wentworth,To,-625000,Retail Thrive Zone
67,T-115,Chicago/Central Park,Kinzie Industrial Corridor,From,5699300,MSAC DS - Westinghouse
68,T-145,73rd/University,87th/Cottage Grove,To,-625000,Retail Thrive Zone
69,T-142,Western Avenue/Rock Island,111th Street/Kedzie Avenue Business District,From,500000,Morgan Park Sports Center
70,T-103,Lake Calumet Area Industrial,126th and Torrence,To,-400000,Bridge repairs
71,T-127,87th/Cottage Grove,71st/Stony Island,From,500000,Retail Thrive Zone
72,T-127,87th/Cottage Grove,73rd/University,From,625000,Retail Thrive Zone
73,T-156,Austin Commercial,North-Cicero,From,2140000,Retail Thrive Zone
74,T-113,Roseland/Michigan,North Pullman,To,-273800,RA - Whole Foods Distribution
75,T-098,63rd/Pulaski,51st/Archer,To,-1922500,MSAC DS - Hernandez MS
76,T-103,Lake Calumet Area Industrial,Ewing Avenue,From,450000,Repay prior transfer
77,T-169,Ewing Avenue,Lake Calumet Area Industrial,From,1700000,CPS - Gallistel
78,T-169,Ewing Avenue,Lake Calumet Area Industrial,To,-450000,Repay prior transfer
79,T-142,Western Avenue/Rock Island,95th and Western,From,1000000,Morgan Park Sports Center
80,T-115,Chicago/Central Park,Northwest Industrial Corridor,From,1048200,MSAC DS - Westinghouse
81,T-144,Harrison/Central,Madison/Austin Corridor,From,144000,RA - Loretto Hospital
82,T-115,Chicago/Central Park,Kinzie Industrial Corridor,From,385100,TIF Works
83,T-157,Hollywood/Sheridan,Bryn Mawr/Broadway,From,297000,CHA Fisher Apts
84,T-157,Hollywood/Sheridan,Lawrence/Broadway,From,575800,RA - Hollywood House
85,T-115,Chicago/Central Park,Kinzie Industrial Corridor,From,1260000,Skate Park - 3349 W Rice St
86,T-127,87th/Cottage Grove,71st/Stony Island,To,-1892700,MSAC DS - South Shore HS
87,T-161,Ogden/Pulaski,Midwest,From,916900,CPS ADA Phase 3
88,T-161,Ogden/Pulaski,Roosevelt/Cicero,From,440000,CPS - Crown
89,T-150,Addison South,Diversey Chicago River,To,-200000,Bridge repairs
90,T-125,119th/I-57,105th/Vincennes,To,-706800,RA - Renaissance Beverly Ridge
91,T-106,Englewood Neighborhood,Englewood Mall,To,-175000,Retail Thrive Zone
92,T-109,Lawrence/Broadway,Hollywood/Sheridan,To,-575800,RA - Hollywood House
93,T-115,Chicago/Central Park,Midwest,From,1690300,MSAC DS - Westinghouse
94,T-097,51st/Archer,63rd/Pulaski,From,1922500,MSAC DS - Hernandez MS
95,T-115,Chicago/Central Park,Midwest,From,222900,MSAC DS - Raby Horticultural
96,T-115,Chicago/Central Park,Kinzie Industrial Corridor,From,1100000,SBIF
97,T-130,Edgewater/Ashland,Clark Street and Ridge Avenue,From,1500000,Park - 5700 Ashland
98,T-097,51st/Archer,Midway Industrial Corridor,From,3315500,MSAC DS - Hernandez MS
99,T-118,47th/King Drive,Washington Park,To,-300000,SBIF
100,T-121,47th/Halsted,Bronzeville,To,-2500000,Quad Communities Arts and Rec Center
101,T-103,Lake Calumet Area Industrial,Ewing Avenue,To,-1700000,CPS - Gallistel
102,T-161,Ogden/Pulaski,Roosevelt/Cicero,From,1000000,RA - Montclare Sr - Lawndale
103,T-125,119th/I-57,107th/Halsted,To,-600000,Retail Thrive Zone
