,TIF Number,TIF1,TIF2,Direction,Amount,Project
0,T-171,West Woodlawn,Woodlawn,From,250000,SBIF
1,T-179,Diversey Chicago River,Addison South,From,200000,Bridge repairs
2,T-176,107th/Halsted,119th/I-57,From,600000,Retail Thrive Zone
3,T-174,67th/Wentworth,79th/Vincennes,From,625000,Retail Thrive Zone
4,T-177,Foster/California,Western Avenue North,From,926700,RA - Swedish Covenant Hospital
5,T-174,67th/Wentworth,63rd/Ashland,From,500000,Retail Thrive Zone
6,T-178,Washington Park,47th/King Drive,From,300000,SBIF
7,T-177,Foster/California,Western Avenue North,From,375000,Traffic signals
8,T-021,Englewood Mall,Englewood Neighborhood,From,175000,Retail Thrive Zone
9,T-013,Bryn Mawr/Broadway,Hollywood/Sheridan,To,-297000,CHA Fisher Apts
10,T-074,Clark Street and Ridge Avenue,Devon/Sheridan,From,3111800,Repay prior transfer
11,T-095,Midwest,Chicago/Central Park,To,-222900,MSAC DS - Raby Horticultural
12,T-081,Belmont/Central,Galewood/Armitage Industrial,To,-2196700,MSAC DS - Prieto Elementary
13,T-095,Midwest,Chicago/Central Park,To,-1690300,MSAC DS - Westinghouse
14,T-069,Pulaski Corridor,Chicago/Central Park,To,-919500,MSAC DS - Westinghouse
15,T-074,Clark Street and Ridge Avenue,Edgewater/Ashland,To,-1500000,Park - 5700 Ashland
16,T-095,Midwest,Western/Ogden,From,6750000,RA - Mt Sinai Hospital
17,T-075,Madison/Austin Corridor,Midwest,From,1633000,MSAC DS - Austin HS & DePriest Elementary
18,T-064,Northwest Industrial Corridor,Madison/Austin Corridor,To,-2859800,MSAC DS - Austin HS & DePriest Elementary
19,T-064,Northwest Industrial Corridor,Chicago/Central Park,To,-1048200,MSAC DS - Westinghouse
20,T-038,Roosevelt/Cicero,Ogden/Pulaski,To,-440000,CPS - Crown
21,T-084,Western Avenue North,Lincoln Avenue,To,-1753200,MSAC DS - Mather HS
22,T-084,Western Avenue North,Foster/California,To,-375000,Traffic signals
23,T-084,Western Avenue North,Foster/California,To,-926700,RA - Swedish Covenant Hospital
24,T-065,Woodlawn,71st/Stony Island,To,-1851100,MSAC DS - South Shore HS
25,T-065,Woodlawn,West Woodlawn,To,-250000,SBIF
26,T-062,Roosevelt/Racine,Western/Ogden,From,1046700,Addams-Medill Sports Center
27,T-075,Madison/Austin Corridor,Harrison/Central,To,-144000,RA - Loretto Hospital
28,T-075,Madison/Austin Corridor,Northwest Industrial Corridor,From,2859800,MSAC DS - Austin HS & DePriest Elementary
29,T-060,71st/Stony Island,87th/Cottage Grove,From,1892700,MSAC DS - South Shore HS
30,T-061,Bronzeville,47th/Halsted,From,2500000,Quad Communities Arts and Rec Center
31,T-095,Midwest,Madison/Austin Corridor,To,-1633000,MSAC DS - Austin HS & DePriest Elementary
