,TIF Number,TIF1,TIF2,Direction,Amount,Project
0,T-001,35th/Halsted,Archer/Western,To,-1400000,Lighting
1,T-001,35th/Halsted,Archer/Western,To,-600000,McGuane Park
2,T-001,35th/Halsted,Archer/Western,To,-400000,McKinley Park
3,T-001,35th/Halsted,Archer/Western,To,-200000,Park - Bosley Park
4,T-005,60th and Western,63rd/Ashland,To,-800000,Lighting
5,T-009,95th and Western,Western Avenue/Rock Island,From,1200000,Repay prior transfer
6,T-033,North Branch (North),North Branch (South),From,22000000,Bridge repairs
7,T-034,North Branch (South),North Branch (North),To,-22000000,Bridge repairs
8,T-035,North-Cicero,Austin Commercial,To,-435000,Lighting
9,T-035,North-Cicero,Austin Commercial,To,-3265000,Retail Thrive Zone
10,T-037,River South,Canal/Congress,From,2000000,CPS - South Loop ES
11,T-037,River South,Canal/Congress,From,8000000,Wells St - Roosevelt to Archer
12,T-037,River South,24th/Michigan,To,-17000000,RDA - Ickes
13,T-038,Roosevelt/Cicero,Harrison/Central,To,-144000,RDA - Loretto Hospital
14,T-038,Roosevelt/Cicero,Ogden/Pulaski,To,-2070000,Lighting
15,T-038,Roosevelt/Cicero,Ogden/Pulaski,To,-300000,Vertical clearance improvements
16,T-042,Sanitary Drainage and Ship Canal,Little Village East,To,-1150000,Lighting
17,T-042,Sanitary Drainage and Ship Canal,Little Village East,To,-130000,Street resurfacing
18,T-048,Western/Ogden,Midwest,To,-2500000,RDA - Mt Sinai Hospital
19,T-048,Western/Ogden,Roosevelt/Racine,To,-6000000,Addams-Medill Sports Center
20,T-048,Western/Ogden,Roosevelt/Racine,To,-1350000,Lighting
21,T-048,Western/Ogden,Roosevelt/Racine,To,-3000000,RDA - 1340 W Taylor Apts
22,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,71st/Stony Island,To,-3000000,MSAC DS - South Shore HS
23,T-056,79th Street Corridor,79th/Vincennes,To,-1000000,Purchase Rehab Program
24,T-060,71st/Stony Island,Stony Island Avenue Commercial and Burnside Industrial Corridors,From,3000000,MSAC DS - South Shore HS
25,T-060,71st/Stony Island,Woodlawn,From,5000000,MSAC DS - South Shore HS
26,T-061,Bronzeville,47th/King Drive,From,1400000,Dunbar Park
27,T-061,Bronzeville,47th/King Drive,From,3000000,Williams Park
28,T-062,Roosevelt/Racine,Western/Ogden,From,6000000,Addams-Medill Sports Center
29,T-062,Roosevelt/Racine,Western/Ogden,From,1350000,Lighting
30,T-062,Roosevelt/Racine,Western/Ogden,From,3000000,RDA - 1340 W Taylor Apts
31,T-063,Canal/Congress,LaSalle Central,From,2575200,Viaduct improvements
32,T-063,Canal/Congress,River South,To,-2000000,CPS - South Loop ES
33,T-063,Canal/Congress,River South,To,-8000000,Wells St - Roosevelt to Archer
34,T-064,Northwest Industrial Corridor,Madison/Austin Corridor,To,-180000,Traffic safety improvements
