,TIF Number,TIF1,TIF2,Direction,Amount,Project
0,T-176,107th/Halsted,119th/I-57,From,1000000,Invest South West Program
1,T-125,119th/I-57,107th/Halsted,To,-1000000,Invest South West Program
2,T-063,Canal/Congress,Roosevelt Clark,To,-24285800,Infra-Structure - Roosevelt Clark TIF
3,T-075,Madison/Austin Corridor,Northwest Industrial Corridor,From,1500000,Invest South West Program
4,T-095,Midwest,Ogden/Pulaski,To,-6408000,Invest South West Program
5,T-166,North Pullman,Roseland/Michigan,From,145000,RDA - Whole Foods Distribution
6,T-064,Northwest Industrial Corridor,Madison/Austin Corridor,To,-1500000,Invest South West Program
7,T-161,Ogden/Pulaski,Midwest,From,6408000,Invest South West Program
8,T-184,Roosevelt Clark,Canal/Congress,From,24285800,Infra-Structure - Roosevelt Clark TIF
9,T-113,Roseland/Michigan,North Pullman,To,-145000,RDA - Whole Foods Distribution
