TIF Number,TIF Name,Time Period,Type,Description,Amount,Designation Date,Expiration Date
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2017,Current Obligations,Local Industrial Retention Initiative,-700,06/10/1998,12/31/2034
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2017,Current Obligations,Delegate Agencies,-600,06/10/1998,12/31/2034
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2017,Current Obligations,CVCA school based health clinic,-500000,06/10/1998,12/31/2034
T-053,Pilsen Industrial Corridor,2017,Current Obligations,Viaduct closure - 2401 Archer and 2332 Archer,-85000,06/10/1998,12/31/2022
T-053,Pilsen Industrial Corridor,2017,Current Obligations,"Streetscape - Blue Island, 19th to 21st",-1194000,06/10/1998,12/31/2022
T-053,Pilsen Industrial Corridor,2017,Current Obligations,Street resurfacing - 2200 S Ford Av,-465000,06/10/1998,12/31/2022
T-053,Pilsen Industrial Corridor,2017,Current Obligations,Small Business Improvement Fund,-500000,06/10/1998,12/31/2022
T-088,Lawrence/Kedzie,2017,Current Obligations,MSAC DS - Albany Park Acad / Peterson ES,-3964200,02/16/2000,12/31/2024
T-059,Calumet Avenue/Cermak Road,2017,Current Obligations,Program administration,-219500,07/29/1998,07/29/2021
T-093,South Chicago,2017,Current Obligations,Program administration,-26800,04/12/2000,12/31/2024
T-086,Central West,2017,Current Obligations,MSAC program costs,-2000,02/16/2000,12/31/2024
T-086,Central West,2017,Current Obligations,Neighborhood Improvement Program,-500000,02/16/2000,12/31/2024
T-086,Central West,2017,Current Obligations,Program administration,-388900,02/16/2000,12/31/2024
T-086,Central West,2017,Current Obligations,RA - Horner Homes Ph. IIA2,-165000,02/16/2000,12/31/2024
T-086,Central West,2017,Current Obligations,RA - McCrory Senior Apts,-1025000,02/16/2000,12/31/2024
T-086,Central West,2017,Current Obligations,RA - Rush University Medical Center,-15000000,02/16/2000,12/31/2024
T-060,71st/Stony Island,2017,Current Obligations,Street construction - 77th/Avalon,-2500,10/07/1998,10/07/2021
T-060,71st/Stony Island,2017,Current Obligations,Program administration,-50600,10/07/1998,10/07/2021
T-060,71st/Stony Island,2017,Current Obligations,MSAC program costs,-4800,10/07/1998,10/07/2021
T-060,71st/Stony Island,2017,Current Obligations,MSAC DS - South Shore HS - TIF share,-2739800,10/07/1998,10/07/2021
T-060,71st/Stony Island,2017,Current Obligations,MSAC DS - South Shore HS - other TIF(s),-5567000,10/07/1998,10/07/2021
T-087,Fullerton/Milwaukee,2017,Current Obligations,Program administration,-141800,02/16/2000,12/31/2024
T-059,Calumet Avenue/Cermak Road,2017,Current Obligations,"Streetscape - Cermak, Prairie to Calumet",-306000,07/29/1998,07/29/2021
T-087,Fullerton/Milwaukee,2017,Current Obligations,MSAC program costs,-3400,02/16/2000,12/31/2024
T-059,Calumet Avenue/Cermak Road,2017,Current Obligations,Prairie District Park - 21st St / Prairie Av,-2000000,07/29/1998,07/29/2021
T-058,Portage Park,2017,Current Obligations,Program administration,-36600,09/09/1998,09/09/2021
T-058,Portage Park,2017,Current Obligations,CPS IGA - Schurz athletic field,-2700000,09/09/1998,09/09/2021
T-058,Portage Park,2017,Current Obligations,CPS IGA - ADA Ph3 - Schurz,-2852800,09/09/1998,09/09/2021
T-013,Bryn Mawr/Broadway,2017,Current Obligations,Program administration,-39700,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2017,Current Obligations,RA - Bryn Mawr - Bellshore,-142700,12/11/1996,12/11/2019
